,Suburb,Address,Rooms,Type,Price,Method,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Lattitude,Longtitude,Regionname
1,Abbotsford,85 Turner St,2,h,1480000,S,2.5,2,1,1,202,98,-37.7996,144.9984,Northern Metropolitan
2,Abbotsford,25 Bloomburg St,2,h,1035000,S,2.5,2,1,0,156,79,-37.8079,144.9934,Northern Metropolitan
3,Abbotsford,5 Charles St,3,h,1465000,SP,2.5,3,2,0,134,150,-37.8093,144.9944,Northern Metropolitan
4,Abbotsford,40 Federation La,3,h,850000,PI,2.5,3,2,1,94,98,-37.7969,144.9969,Northern Metropolitan
5,Abbotsford,55a Park St,4,h,1600000,VB,2.5,3,1,2,120,142,-37.8072,144.9941,Northern Metropolitan
6,Abbotsford,129 Charles St,2,h,941000,S,2.5,2,1,0,181,98,-37.8041,144.9953,Northern Metropolitan
7,Abbotsford,124 Yarra St,3,h,1876000,S,2.5,4,2,0,245,210,-37.8024,144.9993,Northern Metropolitan
8,Abbotsford,98 Charles St,2,h,1636000,S,2.5,2,1,2,256,107,-37.806,144.9954,Northern Metropolitan
9,Abbotsford,6/241 Nicholson St,1,u,300000,S,2.5,1,1,1,0,98,-37.8008,144.9973,Northern Metropolitan
10,Abbotsford,10 Valiant St,2,h,1097000,S,2.5,3,1,2,220,75,-37.801,144.9989,Northern Metropolitan
11,Abbotsford,411/8 Grosvenor St,2,u,700000,VB,2.5,2,2,1,0,98,-37.811,145.0067,Northern Metropolitan
12,Abbotsford,40 Nicholson St,3,h,1350000,VB,2.5,3,2,2,214,190,-37.8085,144.9964,Northern Metropolitan
13,Abbotsford,123/56 Nicholson St,2,u,750000,S,2.5,2,2,1,0,94,-37.8078,144.9965,Northern Metropolitan
14,Abbotsford,45 William St,2,h,1172500,S,2.5,2,1,1,195,98,-37.8084,144.9973,Northern Metropolitan
15,Abbotsford,7/20 Abbotsford St,1,u,441000,SP,2.5,1,1,1,0,98,-37.8016,144.9988,Northern Metropolitan
16,Abbotsford,16 William St,2,h,1310000,S,2.5,2,1,2,238,97,-37.809,144.9976,Northern Metropolitan
17,Abbotsford,42 Henry St,3,h,1200000,S,2.5,3,2,1,113,110,-37.8056,144.993,Northern Metropolitan
18,Abbotsford,78 Yarra St,3,h,1176500,S,2.5,2,1,1,138,105,-37.8021,144.9965,Northern Metropolitan
19,Abbotsford,196 Nicholson St,3,h,955000,S,2.5,3,1,0,183,98,-37.8022,144.9975,Northern Metropolitan
20,Abbotsford,42 Valiant St,2,h,890000,S,2.5,2,1,1,150,73,-37.8011,145.0004,Northern Metropolitan
21,Abbotsford,3/72 Charles St,4,h,1330000,PI,2.5,4,2,2,780,135,-37.8073,144.9952,Northern Metropolitan
22,Abbotsford,13/11 Nicholson St,3,t,900000,S,2.5,3,2,2,0,98,-37.8093,144.9959,Northern Metropolitan
23,Abbotsford,138/56 Nicholson St,3,u,1090000,S,2.5,3,2,2,4290,27,-37.8078,144.9965,Northern Metropolitan
24,Abbotsford,6/219 Nicholson St,2,u,500000,S,2.5,2,1,1,0,60,-37.8015,144.9972,Northern Metropolitan
25,Abbotsford,52a William St,2,h,1100000,PI,2.5,2,2,1,124,135,-37.8079,144.9977,Northern Metropolitan
26,Abbotsford,49 Park St,2,h,1315000,S,2.5,2,1,0,147,85,-37.808,144.994,Northern Metropolitan
27,Abbotsford,5/20 Abbotsford St,1,u,426000,SP,2.5,1,1,1,0,98,-37.8016,144.9988,Northern Metropolitan
28,Abbotsford,48 Abbotsford St,3,h,1447500,PI,2.5,3,3,1,166,174,-37.8017,145.0001,Northern Metropolitan
29,Abbotsford,116/56 Nicholson St,1,u,457000,S,2.5,1,1,1,0,50,-37.8078,144.9965,Northern Metropolitan
30,Abbotsford,159 Park St,2,h,1135000,S,2.5,2,2,2,98,128,-37.8005,144.9952,Northern Metropolitan
31,Abbotsford,31 Turner St,4,h,1542000,S,2.5,4,3,1,0,98,-37.7994,144.9965,Northern Metropolitan
32,Abbotsford,166 Gipps St,3,h,1290000,S,2.5,3,2,2,147,18,-37.805,144.9943,Northern Metropolitan
33,Abbotsford,60 Stafford St,3,h,1290000,S,2.5,3,1,1,168,124,-37.8007,144.9958,Northern Metropolitan
34,Abbotsford,11/205 Gipps St,1,u,470000,S,2.5,1,1,1,0,50,-37.8055,144.9961,Northern Metropolitan
35,Abbotsford,47 Studley St,2,h,1180000,S,2.5,2,1,0,162,91,-37.8016,144.9956,Northern Metropolitan
36,Abbotsford,45 Yarra St,3,h,1195000,SP,2.5,3,2,1,120,128,-37.8022,144.9954,Northern Metropolitan
37,Abbotsford,200 Nicholson St,2,h,1012500,S,2.5,2,1,0,182,82,-37.8021,144.9976,Northern Metropolitan
